ticket_id,customer_id,subject,priority,status,created_date,resolved_date,assigned_to
1143,835,payment issue,low,pending,2024-01-22,2024-01-24,Hua Liang
1144,2836,delivery delay,low,closed,2024-07-12,2024-07-21,Nor Razak
1145,1819,delivery delay,low,pending,2023-06-13,,Sarah Davis
1146,2866,account issue,high,closed,2023-03-20,,Swati Nair
1147,886,account issue,medium,open,2024-01-20,2024-02-03,Jia Li
1148,2070,damaged item,low,pending,2022-08-26,2022-09-10,Kumar Iyer
1149,1119,delivery delay,medium,in progress,2023-04-21,2023-04-23,Michael Davis
1150,2998,payment issue,medium,pending,2023-04-14,,David Miller
1151,2907,payment issue,low,open,2023-02-24,2023-03-17,Ling Mei
1152,1364,payment issue,low,closed,2024-02-08,2024-02-15,Arjun Singh
1153,1871,payment issue,high,open,2022-12-04,2022-12-24,Nor Abdullah
1154,2786,account issue,medium,pending,2024-07-20,2024-07-20,Ahmad Abdullah
1155,1360,damaged item,low,in progress,2023-12-31,2024-01-09,Ahmad Hassan
1156,992,delivery delay,high,resolved,2023-07-10,2023-07-23,Ahmad Rahman
1157,2955,payment issue,low,open,2023-11-10,2023-11-28,David Johnson
1158,2139,damaged item,low,open,2023-09-22,2023-09-27,Jia Li
1159,2300,damaged item,urgent,open,2024-04-11,2024-04-23,Swati Nair
1160,155,payment issue,low,in progress,2022-11-20,2022-11-24,Tao Wong
1161,2064,delivery delay,medium,open,2024-01-10,2024-01-10,Sarah Miller
1162,668,refund request,high,in progress,2023-03-21,,Tao Chen
1163,2143,damaged item,high,closed,2023-06-19,2023-07-02,Nor Razak
1164,1770,account issue,medium,open,2024-10-06,,Priya Kaur
1165,1126,account issue,low,pending,2022-08-27,2022-09-20,Tao Ming
1166,2818,delivery delay,low,resolved,2024-02-17,2024-03-13,Sarah Davis
1167,2575,damaged item,medium,pending,2023-05-06,2023-05-27,Sarah Miller
1168,2341,account issue,medium,in progress,2022-02-08,2022-03-06,David Johnson
1169,2483,damaged item,high,open,2022-10-27,2022-11-23,Sarah Davis
1170,1500,delivery delay,low,open,2023-01-05,2023-01-27,Jia Xiao
1171,2134,account issue,medium,in progress,2024-06-07,2024-06-23,Kumar Iyer
1172,83,refund request,high,open,2023-12-05,2024-01-02,Nor Razak
1173,777,delivery delay,low,resolved,2024-06-03,2024-06-20,Sarah Miller
1174,537,account issue,low,pending,2022-03-07,2022-04-06,Siti Hassan
1175,2843,payment issue,medium,in progress,2023-04-13,,David Miller
1176,1504,refund request,medium,in progress,2023-08-01,2023-08-06,Ravi Singh
1177,1625,refund request,medium,open,2023-08-11,,Nor Hassan
1178,2423,damaged item,high,open,2024-10-29,2024-11-05,Siti Hassan
1179,2230,account issue,medium,open,2024-10-05,2024-11-01,David Johnson
1180,1030,delivery delay,high,resolved,2023-08-18,2023-08-22,Nor Hassan
1181,234,delivery delay,low,in progress,2023-05-31,2023-06-01,Nor Razak
1182,176,delivery delay,high,pending,2024-01-12,,Ling Mei
1183,1594,delivery delay,low,pending,2023-03-21,2023-03-31,Hafiz Rahman
1184,2522,damaged item,urgent,pending,2024-01-07,,Emily Miller
1185,2324,refund request,medium,closed,2022-09-27,2022-10-07,David Miller
1186,2424,account issue,medium,open,2022-01-28,,John Smith
1187,144,delivery delay,medium,resolved,2023-05-28,2023-06-26,Emily Miller
1188,1096,account issue,low,pending,2023-09-25,2023-10-04,Chris Davis
1189,2652,delivery delay,low,closed,2022-08-14,,Tao Mei
1190,2510,refund request,high,open,2023-09-12,,Tao Mei
1191,1996,payment issue,low,closed,2022-04-24,2022-05-15,Sarah Davis
1192,363,refund request,medium,resolved,2024-03-14,2024-04-11,David Miller
1193,1370,payment issue,low,pending,2023-08-18,2023-09-05,Hua Chen
1194,1486,account issue,low,pending,2022-10-04,2022-10-05,Michael Brown
1195,2891,damaged item,high,open,2024-03-08,,Ling Chen
1196,515,delivery delay,medium,in progress,2023-01-11,,Ahmad Abdullah
1197,1976,account issue,high,pending,2024-09-07,2024-09-26,Nor Rahman
1198,871,delivery delay,medium,in progress,2024-08-13,,Tao Ming
1199,1896,delivery delay,medium,closed,2023-03-30,,Swati Singh
1200,2102,delivery delay,medium,resolved,2023-03-12,,Ling Mei
1201,1427,account issue,low,open,2023-01-23,2023-01-27,David Johnson
1202,2565,refund request,low,pending,2022-05-10,2022-05-23,Sarah Davis
1203,2617,account issue,high,open,2024-10-06,2024-11-02,Arjun Nair
1204,1648,account issue,low,resolved,2024-06-03,2024-06-15,David Johnson
1205,1439,account issue,medium,resolved,2024-05-16,2024-06-08,Kumar Iyer
1206,465,delivery delay,medium,pending,2023-07-21,2023-07-22,Michael Brown
1207,1891,refund request,medium,closed,2023-04-30,2023-05-25,Jia Ming
1208,2446,payment issue,low,closed,2023-11-30,2023-12-04,Sarah Miller
1209,875,account issue,low,open,2024-10-19,2024-10-30,Laura Brown
1210,131,refund request,low,pending,2023-07-06,2023-07-18,Nor Rahman
1211,1251,payment issue,low,pending,2022-12-06,,Ravi Singh
1212,1775,delivery delay,low,closed,2023-03-16,2023-03-24,Sarah Brown
1213,2409,refund request,low,in progress,2023-01-09,2023-01-11,Nor Rahman
1214,923,damaged item,medium,pending,2022-02-18,2022-03-06,Sarah Davis
1215,1728,refund request,low,closed,2023-07-04,2023-07-31,Hafiz Ismail
1216,2618,refund request,high,open,2024-10-21,2024-11-18,Ahmad Rahman
1217,2306,damaged item,high,closed,2024-07-30,2024-08-11,Hafiz Razak
1218,236,payment issue,low,pending,2023-11-05,2023-11-14,David Johnson
1219,2200,damaged item,medium,in progress,2024-07-06,2024-07-11,Kumar Iyer
1220,2127,refund request,medium,closed,2024-05-01,,Ahmad Abdullah
1221,1352,delivery delay,high,in progress,2022-05-07,2022-05-13,Tao Ming
1222,216,payment issue,medium,pending,2023-02-18,2023-03-17,Nor Razak
1223,1545,delivery delay,low,open,2023-03-23,2023-03-28,Hafiz Razak
1224,1518,delivery delay,low,pending,2022-10-12,,Swati Singh
1225,306,account issue,medium,open,2022-02-03,,Ravi Iyer
1226,114,account issue,high,in progress,2022-06-20,2022-07-19,Wei Ming
1227,1393,account issue,low,closed,2024-05-05,2024-05-29,Ahmad Abdullah
1228,2983,payment issue,,resolved,2022-07-15,,Ahmad Rahman
1229,1720,payment issue,medium,pending,2023-10-29,2023-10-29,David Johnson
1230,2337,account issue,high,pending,2022-05-14,2022-06-09,Ling Chen
1231,1818,refund request,high,in progress,2024-03-02,2024-03-03,Tao Chen
1232,816,damaged item,medium,open,2022-10-24,,Arjun Iyer
1233,2527,refund request,medium,closed,2024-10-20,,Ravi Iyer
1234,1309,account issue,urgent,pending,2023-10-14,2023-10-31,Nor Abdullah
1235,321,payment issue,low,open,2023-09-28,,Nor Hassan
1236,816,refund request,medium,pending,2023-03-03,2023-03-26,David Johnson
1237,2145,damaged item,low,pending,2024-07-07,2024-08-04,Ahmad Rahman
1238,1877,account issue,low,in progress,2024-06-01,2024-06-09,Ahmad Abdullah
1239,2481,damaged item,high,open,2023-02-22,,Jia Ming
1240,392,payment issue,low,open,2022-10-29,,Ahmad Abdullah
1241,2705,account issue,urgent,closed,2022-12-25,2023-01-19,Kumar Iyer
1242,795,account issue,low,resolved,2024-04-24,2024-05-02,Chris Davis
1243,2387,damaged item,low,resolved,2022-01-27,,Ahmad Abdullah
1244,1867,delivery delay,medium,in progress,2023-02-10,2023-03-03,Michael Brown
1245,994,refund request,medium,open,2022-10-28,2022-11-07,Ravi Iyer
1246,2097,refund request,low,in progress,2024-05-16,,Emily Miller
1247,367,account issue,low,resolved,2024-07-16,2024-08-15,Swati Singh
1248,830,payment issue,medium,resolved,2023-06-17,2023-07-07,Ahmad Abdullah
1249,1137,payment issue,medium,pending,2023-08-18,,Arjun Singh
1250,330,refund request,low,pending,2023-01-29,2023-02-05,Ahmad Razak
1251,354,delivery delay,,resolved,2024-06-25,,Ahmad Abdullah
1252,1196,payment issue,medium,resolved,2022-01-30,2022-02-08,Ling Xiao
1253,1016,payment issue,low,in progress,2023-01-01,,Kumar Iyer
1254,2064,account issue,low,open,2024-06-12,,Ravi Iyer
1255,2330,refund request,high,open,2023-06-02,,Michael Brown
1256,859,payment issue,medium,resolved,2023-05-04,,Arjun Singh
1257,2495,delivery delay,medium,closed,2022-01-15,,Michael Brown
1258,369,refund request,medium,pending,2023-11-20,2023-12-08,Swati Singh
1259,1150,account issue,high,closed,2023-09-14,2023-09-16,Laura Brown
1260,1285,damaged item,medium,closed,2023-10-21,2023-10-25,Ravi Singh
1261,1548,account issue,low,pending,2024-03-28,,Hua Liang
1262,2960,delivery delay,medium,open,2022-04-21,,Ahmad Hassan
1263,2249,account issue,low,in progress,2023-08-30,2023-09-28,Aminah Razak
1264,269,refund request,urgent,resolved,2024-07-25,2024-07-28,Hafiz Rahman
1265,580,refund request,high,closed,2023-12-11,2023-12-12,Ravi Singh
1266,1418,delivery delay,urgent,open,2022-02-13,2022-02-19,Hafiz Razak
1267,1695,refund request,medium,in progress,2023-05-07,2023-05-11,Jia Li
1268,1605,damaged item,high,open,2024-03-09,2024-04-01,Tao Wong
1269,2277,payment issue,high,pending,2023-09-06,,Ahmad Hassan
1270,2718,payment issue,urgent,open,2022-06-22,2022-06-25,Arjun Nair
1271,2882,delivery delay,high,resolved,2024-02-03,2024-02-05,Hua Liang
1272,2993,account issue,high,in progress,2023-11-23,2023-12-16,Nor Abdullah
1273,1858,delivery delay,medium,open,2022-03-04,2022-03-30,Hafiz Rahman
1274,2729,refund request,medium,resolved,2022-01-04,2022-01-30,Michael Davis
1275,1876,payment issue,medium,resolved,2024-03-21,,Tao Ming
1276,429,account issue,low,open,2024-02-24,2024-03-06,Jia Ming
1277,2028,delivery delay,high,open,2023-07-25,2023-08-22,Hua Chen
1278,1878,payment issue,low,resolved,2024-10-22,2024-11-18,Laura Brown
1279,635,payment issue,medium,resolved,2023-09-13,2023-10-10,Swati Singh
1280,207,account issue,high,resolved,2022-06-25,2022-07-09,Ahmad Abdullah
1281,1152,payment issue,medium,resolved,2022-02-25,2022-02-26,Wei Ming
1282,1742,damaged item,medium,open,2022-08-12,2022-09-07,Hafiz Rahman
1283,380,refund request,medium,open,2024-03-10,2024-03-14,Laura Brown
1284,985,payment issue,medium,closed,2024-07-12,2024-07-28,Tao Chen
1285,87,payment issue,low,pending,2022-02-23,2022-02-25,Sarah Brown
1286,2742,delivery delay,medium,resolved,2023-02-22,2023-03-10,Aminah Razak
1287,2331,refund request,low,pending,2023-08-29,2023-09-08,Tao Chen
1288,645,refund request,low,pending,2023-05-04,2023-05-31,Aminah Razak
1289,2413,refund request,low,open,2024-01-05,2024-02-03,Nor Razak
1290,2421,account issue,low,resolved,2024-04-06,2024-05-03,Jia Ming
1291,2105,damaged item,high,open,2024-01-12,2024-02-09,Ravi Iyer
1292,656,refund request,medium,pending,2024-05-20,2024-06-05,Ahmad Abdullah
1293,205,refund request,medium,in progress,2023-12-12,2024-01-04,Ahmad Razak
1294,910,damaged item,low,pending,2024-04-18,,Nor Abdullah
1295,339,payment issue,medium,resolved,2023-12-16,,Sarah Davis
1296,467,damaged item,low,in progress,2022-10-25,,John Smith
1297,916,refund request,low,closed,2023-02-14,2023-03-07,Sarah Miller
1298,1099,payment issue,low,open,2022-10-16,2022-11-03,Ahmad Razak
1299,1882,delivery delay,low,open,2022-09-19,2022-10-16,Jia Xiao
1300,764,refund request,high,in progress,2024-05-11,2024-06-07,Nor Hassan
1301,1850,refund request,low,pending,2023-03-21,2023-03-24,Jia Xiao
1302,1406,damaged item,high,open,2024-06-30,2024-07-25,David Miller
1303,1632,refund request,low,in progress,2023-11-05,2023-11-24,Arjun Iyer
1304,188,refund request,medium,in progress,2023-03-06,,Sarah Miller
1305,983,account issue,low,closed,2023-07-10,,Nor Hassan
1306,812,payment issue,low,in progress,2022-12-30,2023-01-08,Ahmad Abdullah
1307,1387,damaged item,high,pending,2022-07-21,2022-08-03,Hua Liang
1308,1706,delivery delay,low,pending,2023-05-11,,Ling Mei
1309,1021,payment issue,medium,pending,2024-09-21,2024-10-16,Siti Hassan
1310,1520,account issue,medium,pending,2023-02-11,,Priya Kaur
1311,1794,refund request,medium,resolved,2022-09-17,2022-09-29,Michael Brown
1312,444,account issue,low,pending,2023-07-23,2023-08-06,Kumar Iyer
1313,71,payment issue,medium,open,2022-03-05,2022-03-28,Ahmad Hassan
1314,587,payment issue,medium,pending,2022-01-23,2022-02-03,Nor Razak
1315,122,refund request,,closed,2024-02-22,,Priya Kaur
1316,415,delivery delay,,in progress,2022-01-28,,Nor Abdullah
1317,2775,refund request,high,resolved,2023-04-26,2023-05-04,Nor Rahman
1318,165,account issue,low,in progress,2023-10-04,2023-10-15,Laura Brown
1319,939,damaged item,medium,open,2022-01-09,,Hafiz Ismail
1320,2386,account issue,low,open,2024-02-23,2024-03-01,Jia Liang
1321,1300,refund request,high,resolved,2023-11-25,,Kumar Iyer
1322,2574,refund request,high,open,2023-10-13,2023-10-27,Priya Kaur
1323,1697,delivery delay,high,in progress,2022-02-14,2022-03-10,Arjun Nair
1324,1314,payment issue,low,in progress,2024-06-22,,Arjun Iyer
1325,1040,payment issue,low,in progress,2023-11-07,,Chris Davis
1326,2706,account issue,low,in progress,2022-05-02,2022-06-01,Ahmad Abdullah
1327,2678,payment issue,medium,open,2023-12-20,2024-01-06,Michael Davis
1328,1637,account issue,high,closed,2022-06-06,,David Johnson
1329,245,account issue,urgent,resolved,2022-04-28,2022-05-24,Jia Li
1330,546,payment issue,medium,open,2023-12-04,,Ahmad Rahman
1331,420,payment issue,high,pending,2022-07-05,2022-07-29,Ling Mei
1332,81,delivery delay,low,closed,2024-09-20,,Arjun Iyer
1333,1899,payment issue,urgent,pending,2022-12-29,,Hua Chen
1334,1678,refund request,low,closed,2023-05-21,,Hafiz Razak
1335,2320,refund request,high,resolved,2023-11-13,2023-11-27,Jia Liang
1336,2509,account issue,medium,in progress,2022-05-11,2022-06-03,David Miller
1337,701,account issue,high,resolved,2022-02-11,2022-02-24,Hafiz Rahman
1338,1846,account issue,low,open,2022-05-25,,Arjun Iyer
1339,2334,delivery delay,low,closed,2024-06-11,,Sarah Brown
1340,689,delivery delay,medium,resolved,2024-07-23,,Tao Wong
1341,1280,refund request,medium,open,2024-04-12,,Arjun Nair
1342,1873,account issue,medium,resolved,2022-01-11,2022-02-08,Ahmad Hassan
1343,1290,account issue,medium,open,2022-09-26,2022-09-28,Jia Xiao
1344,2009,account issue,low,open,2022-06-21,2022-07-05,Tao Mei
1345,2752,damaged item,high,pending,2024-05-06,2024-05-14,Ling Mei
1346,1663,refund request,medium,in progress,2024-08-09,2024-08-29,Sarah Brown
1347,1009,account issue,medium,resolved,2023-06-16,2023-07-16,Ahmad Abdullah
1348,2227,account issue,medium,in progress,2023-12-05,2023-12-22,Swati Singh
1349,1565,damaged item,low,in progress,2022-06-02,2022-06-23,Ling Mei
1350,976,refund request,medium,resolved,2024-03-28,2024-04-22,Sarah Miller
1351,671,account issue,medium,in progress,2024-03-19,2024-03-20,Ahmad Abdullah
1352,51,account issue,high,closed,2024-10-09,2024-10-20,Swati Singh
1353,2274,delivery delay,medium,closed,2024-06-11,2024-07-04,Ahmad Hassan
1354,2756,payment issue,medium,resolved,2024-09-30,2024-10-28,Hafiz Razak
1355,2561,refund request,high,in progress,2022-01-12,2022-02-04,Siti Hassan
1356,2000,payment issue,medium,closed,2023-05-20,2023-06-13,Ravi Singh
1357,1066,account issue,low,resolved,2024-09-19,,Wei Ming
1358,2848,payment issue,high,closed,2023-10-04,2023-10-24,Arjun Singh
1359,1562,damaged item,medium,in progress,2024-01-09,2024-02-05,Jia Liang
1360,500,damaged item,low,pending,2024-05-04,,Hafiz Rahman
1361,2706,damaged item,low,in progress,2024-03-14,2024-03-23,Nor Abdullah
1362,569,delivery delay,low,closed,2024-09-13,,Ahmad Rahman
1363,45,refund request,low,resolved,2024-09-09,2024-09-21,Zul Abdullah
1364,2516,refund request,high,pending,2023-11-05,2023-11-23,Ahmad Hassan
1365,2709,payment issue,medium,open,2023-09-12,2023-10-07,Swati Nair
1366,1888,account issue,medium,resolved,2024-05-23,,Jia Liang
1367,1800,delivery delay,low,closed,2023-12-11,2023-12-25,David Johnson
1368,2317,account issue,high,open,2023-04-07,2023-04-15,Michael Brown
1369,1425,delivery delay,medium,pending,2022-03-06,2022-03-08,Jia Xiao
1370,224,refund request,low,open,2024-02-04,2024-02-13,Priya Kaur
1371,691,payment issue,low,open,2022-08-16,2022-09-03,Ravi Iyer
1372,2133,payment issue,high,open,2022-09-14,2022-10-14,Ahmad Abdullah
1373,1062,account issue,high,closed,2022-12-07,,Siti Hassan
1374,1323,delivery delay,medium,open,2022-01-10,2022-01-27,David Johnson
1375,467,damaged item,urgent,in progress,2022-01-06,2022-01-13,Hua Liang
1376,841,delivery delay,medium,pending,2022-10-26,2022-11-07,David Johnson
1377,1888,delivery delay,low,resolved,2024-01-07,2024-01-30,David Miller
1378,15,payment issue,low,open,2024-06-03,2024-06-15,Kumar Iyer
1379,554,payment issue,low,open,2024-01-27,,Sarah Brown
1380,2562,damaged item,urgent,in progress,2022-10-25,2022-11-24,Sarah Brown
1381,630,payment issue,urgent,open,2022-05-21,2022-05-25,Ahmad Rahman
1382,1846,refund request,high,pending,2022-11-02,2022-11-20,Hafiz Ismail
1383,2767,delivery delay,medium,pending,2024-08-02,2024-08-17,Arjun Nair
1384,2124,payment issue,low,open,2022-12-15,2022-12-22,Ling Chen
1385,1598,damaged item,low,resolved,2022-05-19,,Ahmad Abdullah
1386,2431,payment issue,medium,in progress,2022-07-18,,Tao Wong
1387,1243,refund request,low,pending,2023-02-23,2023-02-26,Arjun Singh
1388,2541,refund request,low,open,2024-08-27,2024-09-17,Tao Wong
1389,1432,payment issue,medium,pending,2024-02-19,,David Miller
1390,76,account issue,high,resolved,2023-04-04,,Tao Mei
1391,2418,payment issue,medium,in progress,2023-05-22,2023-06-18,Ahmad Razak
1392,1891,refund request,low,resolved,2024-06-11,,Ahmad Razak
1393,1388,delivery delay,low,pending,2024-04-26,2024-05-26,Tao Wong
1394,2091,account issue,medium,open,2023-09-03,2023-09-28,Hafiz Razak
1395,538,delivery delay,low,in progress,2023-05-04,,Laura Brown
1396,116,payment issue,high,closed,2024-06-04,2024-06-22,Michael Brown
1397,570,refund request,medium,open,2024-08-31,2024-09-29,Hua Chen
1398,2151,delivery delay,medium,open,2023-10-04,,Ahmad Abdullah
1399,1247,payment issue,medium,open,2023-04-03,,Michael Brown
1400,2762,payment issue,high,pending,2023-09-18,2023-09-27,John Smith
1401,2312,account issue,high,pending,2022-12-22,2023-01-11,Emily Miller
1402,1185,account issue,high,open,2024-06-22,2024-06-29,Ling Xiao
1403,144,account issue,medium,closed,2023-01-18,2023-02-09,Nor Razak
1404,2853,refund request,low,closed,2023-06-12,2023-06-17,Siti Hassan
1405,1658,damaged item,low,resolved,2023-04-10,2023-04-18,Ling Mei
1406,162,delivery delay,low,closed,2022-11-05,,Swati Nair
1407,149,delivery delay,medium,in progress,2024-07-04,2024-07-29,Nor Abdullah
1408,2659,payment issue,low,in progress,2023-03-26,2023-04-07,Zul Abdullah
1409,2556,delivery delay,low,pending,2024-02-21,,Ahmad Razak
1410,2073,damaged item,medium,open,2022-11-28,2022-12-28,Michael Davis
1411,1320,payment issue,medium,in progress,2022-09-22,,Hafiz Ismail
1412,2513,account issue,high,resolved,2024-03-03,2024-03-26,Michael Brown
1413,1111,damaged item,high,in progress,2022-04-07,2022-04-22,Ling Chen
1414,2216,account issue,low,resolved,2023-03-11,2023-04-01,Hua Chen
1415,1535,account issue,urgent,resolved,2022-01-22,2022-02-16,Tao Mei
1416,2194,payment issue,medium,pending,2023-04-23,2023-05-12,Ahmad Abdullah
1417,722,refund request,low,open,2022-04-25,2022-04-28,Sarah Miller
1418,2084,delivery delay,medium,in progress,2022-03-25,2022-03-31,Ravi Iyer
1419,533,payment issue,low,resolved,2024-06-11,2024-06-17,Ling Mei
1420,967,damaged item,high,open,2023-12-20,2024-01-11,Tao Ming
1421,2502,account issue,low,pending,2024-02-20,,Jia Ming
1422,1180,damaged item,high,in progress,2022-07-17,2022-08-12,Priya Kaur
1423,729,refund request,medium,pending,2024-06-28,2024-07-05,David Johnson
1424,696,delivery delay,medium,pending,2023-06-05,2023-06-05,Sarah Miller
1425,1712,account issue,low,in progress,2022-10-24,,David Johnson
1426,488,account issue,low,resolved,2023-04-04,2023-04-11,Tao Chen
1427,750,payment issue,medium,in progress,2023-11-04,,Swati Singh
1428,2451,damaged item,urgent,in progress,2022-09-21,2022-10-04,Jia Xiao
1429,373,delivery delay,medium,open,2022-04-14,2022-05-13,Kumar Iyer
1430,132,damaged item,low,closed,2023-06-23,2023-07-17,Jia Li
1431,1509,refund request,low,open,2022-03-05,2022-03-08,Michael Davis
1432,1792,account issue,medium,open,2022-02-23,2022-03-17,Ling Xiao
1433,183,payment issue,low,open,2024-06-23,2024-06-27,Hafiz Rahman
1434,409,refund request,medium,in progress,2024-04-13,2024-04-19,David Johnson
1435,656,refund request,low,closed,2022-01-20,2022-01-20,Tao Mei
1436,799,account issue,low,resolved,2024-07-04,2024-07-08,Jia Liang
1437,1171,delivery delay,low,resolved,2023-10-09,,Hua Chen
1438,1720,delivery delay,medium,pending,2024-02-13,2024-03-02,Kumar Iyer
1439,2767,payment issue,high,closed,2022-07-03,2022-07-30,Tao Chen
1440,2500,delivery delay,medium,closed,2022-09-06,,Hua Chen
1441,2363,refund request,urgent,in progress,2023-10-17,,David Johnson
1442,1268,account issue,low,resolved,2023-12-25,2023-12-29,Jia Ming
1443,2849,delivery delay,low,pending,2023-02-25,2023-03-13,Sarah Brown
1444,2669,account issue,low,open,2022-08-29,2022-09-05,John Smith
1445,2072,account issue,high,open,2022-01-21,2022-02-03,Jia Liang
1446,960,payment issue,low,resolved,2024-10-24,2024-11-11,Ahmad Rahman
1447,882,payment issue,medium,pending,2023-02-01,2023-02-05,Hafiz Rahman
1448,2595,refund request,low,closed,2022-04-19,,Ahmad Razak
1449,1589,payment issue,urgent,closed,2024-01-07,2024-02-06,Hafiz Ismail
1450,2912,payment issue,medium,pending,2022-12-22,2023-01-13,Aminah Razak
1451,264,damaged item,medium,open,2022-08-14,,Jia Ming
1452,2623,refund request,low,resolved,2022-07-14,2022-07-24,Nor Rahman
1453,2200,refund request,low,open,2022-01-12,,Chris Davis
1454,762,account issue,medium,pending,2022-03-17,2022-03-28,Jia Ming
1455,1710,payment issue,low,in progress,2022-03-29,2022-04-08,Arjun Singh
1456,2809,refund request,low,in progress,2023-08-31,2023-09-09,Hua Chen
1457,2262,payment issue,medium,pending,2023-08-15,2023-08-25,Michael Davis
1458,788,account issue,low,open,2022-10-13,2022-10-28,Kumar Iyer
1459,2156,refund request,medium,closed,2023-12-23,2024-01-13,Jia Ming
1460,73,payment issue,low,resolved,2024-04-02,,Aminah Razak
1461,1925,delivery delay,medium,closed,2024-04-06,,Ravi Iyer
1462,1770,damaged item,low,in progress,2022-04-16,2022-04-24,Hafiz Ismail
1463,1463,delivery delay,medium,in progress,2024-01-19,2024-01-31,Ahmad Razak
1464,2861,delivery delay,medium,resolved,2023-06-18,2023-06-30,Jia Liang
1465,2129,account issue,urgent,resolved,2022-07-05,,Swati Nair
1466,1073,refund request,medium,resolved,2024-03-26,,Ahmad Hassan
1467,2431,delivery delay,high,resolved,2023-11-07,2023-11-15,David Johnson
1468,965,payment issue,low,pending,2023-01-04,2023-01-22,Nor Abdullah
1469,447,delivery delay,medium,in progress,2023-07-26,2023-07-27,Arjun Nair
1470,1477,damaged item,medium,resolved,2022-02-28,2022-03-13,Sarah Davis
1471,2891,payment issue,medium,closed,2022-09-30,2022-10-17,Aminah Razak
1472,2100,account issue,medium,closed,2023-09-07,2023-09-10,Laura Brown
1473,823,damaged item,medium,in progress,2022-04-05,2022-04-20,David Johnson
1474,2271,damaged item,low,in progress,2023-07-29,,Nor Abdullah
1475,916,delivery delay,medium,open,2024-01-04,,Ahmad Abdullah
1476,2268,delivery delay,low,pending,2023-05-11,,Michael Davis
1477,2607,damaged item,low,closed,2023-03-07,2023-03-13,Tao Chen
1478,2796,payment issue,low,open,2024-05-06,,Tao Ming
1479,2586,damaged item,high,pending,2023-04-07,2023-05-06,Jia Li
1480,2803,account issue,medium,pending,2024-05-16,,Jia Li
1481,2755,payment issue,low,open,2024-01-01,2024-01-27,Ahmad Abdullah
1482,1442,account issue,medium,in progress,2024-04-23,2024-04-23,Jia Ming
1483,2804,account issue,low,open,2022-04-20,2022-05-15,Tao Chen
1484,2295,damaged item,medium,closed,2023-12-23,2023-12-27,Ahmad Rahman
1485,1454,delivery delay,medium,resolved,2023-11-05,2023-11-10,Nor Abdullah
1486,1544,account issue,medium,open,2024-01-03,2024-01-18,Ling Mei
1487,1393,damaged item,low,closed,2024-08-19,2024-09-18,Hafiz Ismail
1488,7,damaged item,medium,open,2023-05-10,2023-05-19,Nor Hassan
1489,1446,payment issue,low,pending,2024-10-16,2024-11-05,Nor Hassan
1490,22,damaged item,low,pending,2023-04-07,2023-04-11,Siti Hassan
1491,2994,delivery delay,urgent,open,2022-02-25,2022-03-09,Tao Chen
1492,2379,damaged item,urgent,open,2022-09-17,2022-10-01,Ling Mei
1493,1472,damaged item,high,pending,2022-01-30,2022-02-21,Jia Liang
1494,1489,account issue,medium,resolved,2022-09-30,2022-10-20,Tao Wong
1495,1921,delivery delay,urgent,pending,2023-10-09,2023-11-08,Emily Miller
1496,135,damaged item,medium,in progress,2024-01-18,2024-01-25,Michael Davis
1497,1859,refund request,medium,pending,2022-09-21,2022-09-27,Emily Miller
1498,785,delivery delay,low,closed,2024-10-25,2024-11-20,Jia Liang
1499,1839,delivery delay,high,closed,2023-03-29,,Sarah Miller
1500,2391,refund request,,pending,2022-07-14,2022-08-08,Emily Miller
1501,1254,delivery delay,high,resolved,2024-08-21,2024-08-22,Michael Brown
1502,74,delivery delay,low,in progress,2024-09-17,2024-10-11,Nor Hassan
1503,876,refund request,low,in progress,2024-07-14,2024-08-02,Ling Chen
1504,719,account issue,medium,in progress,2024-08-17,,Ling Chen
1505,2250,account issue,medium,pending,2022-07-27,2022-08-02,Arjun Nair
1506,562,refund request,medium,open,2024-08-19,2024-09-16,Arjun Singh
1507,2144,payment issue,medium,pending,2024-08-25,2024-09-01,Michael Brown
1508,1730,damaged item,urgent,open,2023-01-05,2023-02-01,Ling Mei
1509,554,account issue,medium,pending,2024-02-13,,David Johnson
1510,210,damaged item,high,closed,2023-05-23,2023-06-21,David Miller
1511,653,refund request,low,closed,2023-06-14,2023-06-14,Tao Mei
1512,2983,damaged item,medium,closed,2022-12-17,2023-01-09,Tao Ming
1513,656,delivery delay,low,open,2023-01-11,,Laura Brown
1514,2729,payment issue,low,closed,2024-05-21,2024-05-26,Sarah Miller
1515,1088,payment issue,urgent,resolved,2024-02-04,2024-02-15,Jia Ming
1516,302,refund request,low,closed,2022-11-06,2022-11-07,Siti Hassan
1517,53,payment issue,low,resolved,2023-07-20,2023-08-07,Nor Rahman
1518,1981,refund request,medium,open,2024-05-22,,Tao Mei
1519,1618,payment issue,low,closed,2022-06-08,,Sarah Miller
1520,1257,refund request,medium,pending,2024-07-10,2024-07-28,Swati Singh
1521,2769,refund request,medium,pending,2022-10-11,2022-11-03,John Smith
1522,1952,account issue,high,resolved,2022-08-25,2022-09-15,Emily Miller
1523,2684,payment issue,low,open,2022-12-25,2023-01-17,Hafiz Rahman
1524,1444,payment issue,high,in progress,2024-05-14,2024-05-29,Nor Abdullah
1525,407,refund request,high,in progress,2024-05-15,,Ling Chen
1526,611,payment issue,medium,resolved,2022-05-04,,Swati Nair
1527,1288,damaged item,medium,closed,2023-08-19,,Jia Xiao
